year,date,title,author,level,google_drive_id,filename
2017-18,2018-03-02,February USACO Gold/Plat Contest Review,Mihir Patel,Advanced,1LLrccvcTpdNTGbc3GC3hVNAT6mtPZLWS,2018-03-02_February_USACO_Gold_Plat_Contest_Review.pdf
2017-18,2018-03-23,Heavy Light Decomposition,Daniel Wisdom,Advanced,1rAvEGQ37tHkhOaF-VGUlKoK-IribCypI,2018-03-23_Heavy_Light_Decomposition.pdf
2017-18,2018-04-06,US Open Plat Contest Review,Justin Zhang,Advanced,1vLVqyhRVgLACy9qsPkGqljRAfl88gyKI,2018-04-06_US_Open_Plat_Contest_Review.pdf
,,,,,,
2018-19,2018-09-14,Orientation,SCT Officers,All,,2018_09_14_Orientation.pdf
2018-19,2018-09-21,Union Find,George Tang,Beginner,,2018_09_21_Union_Find.pdf
2018-19,2018-09-21,Elementary Algorithms,Daniel Wisdom,Beginner,,2018_09_21_Elementary_Algorithms.pdf
2018-19,2018-09-28,Basic Graph Theory,Jongwan Kim,Beginner,,2018_09_28_Basic_Graph_Theory.pdf
2018-19,2018-09-28,Strongly Connected Components and Biconnected Components,Charlie Gunn,Advanced,,2018_09_28_SCC__BCC.pdf
2018-19,2018-10-05,Trees,George Tang,Beginner,,2018_10_5_Trees.pdf
2018-19,2018-10-19,Introduction To Dynamic Programming,Daniel Wisdom,Beginner,,2018_10_19_Intro_to_DP.pdf
2018-19,2018-10-19,Segment Trees,George Tang,Advanced,,2018_10_19_Segment_Trees.pdf
2018-19,2018-11-30,Binary Indexed Trees,Daniel Wisdom,Advanced,,2018_11_30_Binary_Indexed_Trees.pdf
2018-19,2018-12-07,Suffix Arrays,Charlie Gunn,Advanced,,2018_12_07_Suffix_Arrays.pdf
